,reviews.rating,reviews.text,reviews.length,detected_language,translated_text
0,4.0,Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!,194,"('en', 1)",Pleasant 10 min walk along the sea front to the Water Bus. restaurants etc. Hotel was comfortable breakfast was good - quite a variety. Room aircon didn't work very well. Take mosquito repelant!
1,5.0,Really lovely hotel. Stayed on the very top floor and were surprised by a Jacuzzi bath we didn't know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money. Didn't want to leave!,252,"('en', 1)",Really lovely hotel. Stayed on the very top floor and were surprised by a Jacuzzi bath we didn't know we were getting! Staff were friendly and helpful and the included breakfast was great! Great location and great value for money. Didn't want to leave!
2,5.0,Ett mycket bra hotell. Det som drog ner betyget var att vi fick ett rum under taksarna dr det endast var full sthjd i 80 av rummets yta.,136,"('sv', 1)",A very good hotel. What pulled down the grade was that we got a room under the taxis where there was only full support in 80 of the room&#39;s surface.
3,5.0,"We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there.",354,"('en', 1)","We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast.Spa at hotel nearby which we used while we were there."
4,5.0,"We loved staying on the island of Lido! You need to take a water is from Venice to get there. From the train station, a boat ride takes 45 minutes but has beautiful views along the way. Hotel is an EASY walk from the boat dock. The room was very clean and the breakfast was plentiful. We would definitely recommend this hotel!",326,"('en', 1)","We loved staying on the island of Lido! You need to take a water is from Venice to get there. From the train station, a boat ride takes 45 minutes but has beautiful views along the way. Hotel is an EASY walk from the boat dock. The room was very clean and the breakfast was plentiful. We would definitely recommend this hotel!"
5,4.0,ottimo soggiorno e ottima sistemazione nei giorni frenetici di inaugurazione della Biennale. Le signore alla reception sono efficientissime e squisite e non sono da meno le ragazze che servono la prima colazione. Da tornarci,224,"('it', 1)",excellent stay and excellent accommodation in the hectic days of the inauguration of the Biennale. The ladies at the reception are very efficient and exquisite and the girls who serve breakfast are no less. To go back
6,3.0,"Gnstiger Ausgangspunkt fr Venedig Besuche. Ruhige Lage auf dem Lido. Flugplatz Lido und Bootsanlegestellen fulufig erreichbar. Zimmer ziemlich eng, aber alles vorhanden. Frhstck fr Italien ausgesprochen reichhaltig. Hotel sollte regelmig einen Kammerjger beschftigen, da ein Befall mit Wanzen festzustellen war.",311,"('de', 1)","Favorable starting point for visits to Venice. Quiet location on the Lido. Lido airfield and boat docks are within easy reach. Room pretty narrow, but everything was there. Breakfast for Italy very rich. Hotel should regularly employ a exterminator as there was an infestation with bedbugs."
7,4.0,"Lidoen er perfekt til et par dages ro og afslapning, skn strand, lkkert omrde og lille hyggeligt familiehotel med et sdt personale",130,"('da', 1)","The lido is perfect for a couple of days of relaxation, nice beach, nice area and small cozy family hotel with a nice staff"
8,4.0,"Accueil chaleureux, en franais Changement du linge de lit tous les jours, lit confortable, salle de bain de bonne taille et bien quipe. Petit djeuner copieux et vari.",166,"('fr', 0.9191928505897522)","Warm welcome, in French Change of bed linen every day, comfortable bed, good sized bathroom and well equipped. Hearty and varied breakfast."
9,3.0,It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed,112,"('en', 1)",It was ok hotel is nice from in and out but room was small we paid for double bed bat they atteched 2 single bed
